,W,N1,N2,N3,REM
W,89.03% (8766),5.76% (567),3.61% (355),0.46% (45),1.15% (113)
N1,18.79% (527),43.05% (1207),24.18% (678),1.14% (32),12.84% (360)
N2,2.11% (376),4.43% (789),85.29% (15181),3.48% (620),4.68% (833)
N3,2.33% (133),2.7% (154),16.22% (925),78.7% (4488),0.05% (3)
REM,2.14% (165),10.19% (786),11.69% (902),0.03% (2),75.96% (5862)
